,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
21,Breel Embolo,FW,ch Switzerland,25-304,1.fr Monaco,1997,4,4,323,3.6,0.56,0.00,0.56,0.00,0.00,0.00,0.00,0.56,0.00,0.56,0.56,0.56,0.64,0.64,0.03,0.67,0.64,0.03,0.66,0.64,0.66,Matches,0b4f388a
22,Takuma Asano,FW,jp Japan,28-035,1.de Bochum,1994,4,0,165,1.8,0.56,0.00,0.56,0.00,0.00,0.00,0.00,0.55,0.00,0.55,0.55,0.55,0.39,0.39,0.11,0.50,0.44,0.17,0.60,0.44,0.60,Matches,13ddc856
23,Ao Tanaka,MF,jp Japan,24-096,2.de Düsseldorf,1998,3,2,171,1.9,0.53,0.00,0.53,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,0.53,0.53,0.05,0.53,0.55,0.05,0.60,0.55,0.60,Matches,1d36d6b6
24,Marko Livaja,FWMF,hr Croatia,29-111,1.hr Hajduk Split,1993,5,2,176,2.0,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51,0.40,0.40,0.00,0.40,0.43,0.02,0.44,0.43,0.44,Matches,6e5497ca
25,Jean-Charles Castelletto,DF,cm Cameroon,27-323,1.fr Nantes,1995,2,2,180,2.0,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.50,1.00,0.45,0.45,0.15,0.60,0.47,0.15,0.62,0.47,0.62,Matches,e0f3a1f6
26,Daizen Maeda,FW,jp Japan,25-056,1.sct Celtic,1997,3,3,180,2.0,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.25,0.25,0.00,0.25,0.24,0.00,0.24,0.24,0.24,Matches,395451fc
27,Ramin Rezaeian,DF,ir IR Iran,32-269,1.ir Sepahan,1990,2,2,180,2.0,0.50,0.00,0.50,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.50,0.50,0.15,0.15,0.15,0.25,0.13,0.14,0.27,0.13,0.27,Matches,c0ae3446
28,Davy Klaassen,MFFW,nl Netherlands,29-297,1.nl Ajax,1993,4,3,190,2.1,0.48,0.95,0.48,0.00,0.00,0.00,0.00,0.47,0.95,1.42,0.47,1.42,0.10,0.10,0.14,0.24,0.11,0.14,0.25,0.11,0.25,Matches,15fd5593
29,André Ayew,MFFW,gh Ghana,32-363,1.qa Al Sadd SC,1989,3,3,198,2.2,0.45,0.00,0.45,0.00,0.45,0.45,0.00,0.45,0.00,0.45,0.45,0.45,0.50,0.18,0.00,0.18,0.52,0.00,0.52,0.16,0.16,Matches,5dbefa9d
30,Andrej Kramarić,FW,hr Croatia,31-179,1.de Hoffenheim,1991,6,6,414,4.6,0.43,0.00,0.43,0.00,0.00,0.00,0.00,0.43,0.00,0.43,0.43,0.43,0.35,0.35,0.04,0.37,0.34,0.03,0.37,0.34,0.37,Matches,603cb947
31,Bruno Petković,FW,hr Croatia,28-090,1.hr Dinamo Zagreb,1994,5,1,209,2.3,0.43,0.00,0.43,0.00,0.00,0.43,0.00,0.43,0.00,0.43,0.43,0.43,0.04,0.04,0.13,0.22,0.06,0.17,0.23,0.06,0.23,Matches,24228180
32,Ferrán Torres,FW,es Spain,22-289,1.es Barcelona,2000,4,3,217,2.4,0.83,0.00,0.42,0.42,0.42,0.00,0.00,0.83,0.00,0.83,0.41,0.41,0.42,0.08,0.08,0.17,0.42,0.07,0.50,0.10,0.17,Matches,9e1035f8
33,Youssef En-Nesyri,FW,ma Morocco,25-197,1.es Sevilla,1997,6,6,452,5.0,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,0.16,0.16,0.00,0.18,0.17,0.01,0.17,0.17,0.17,Matches,04e17fd5
34,Saleh Al-Shehri,FW,sa Saudi Arabia,29-044,1.sa Al-Hilal,1993,3,3,223,2.5,0.40,0.00,0.40,0.00,0.00,0.40,0.00,0.40,0.00,0.40,0.40,0.40,0.04,0.04,0.04,0.08,0.03,0.05,0.09,0.03,0.09,Matches,f4377d0f
35,Marco Asensio,FW,es Spain,26-328,1.es Real Madrid,1996,4,3,229,2.5,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,0.48,0.48,0.04,0.52,0.48,0.02,0.50,0.48,0.50,Matches,45af8a54
36,Xherdan Shaqiri,FWMF,ch Switzerland,31-066,1.us Chicago Fire,1991,3,3,229,2.5,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.39,0.39,0.79,0.39,0.79,0.12,0.12,0.36,0.48,0.12,0.35,0.47,0.12,0.47,Matches,6421ec64
37,Sergej Milinković-Savić,MF,rs Serbia,27-291,1.it Lazio,1995,3,3,233,2.6,0.38,0.00,0.38,0.00,0.00,0.38,0.00,0.39,0.00,0.39,0.39,0.39,0.08,0.08,0.00,0.08,0.07,0.00,0.07,0.07,0.07,Matches,4e6dbac4
38,Craig Goodwin,MF,au Australia,30-364,1.au Adelaide,1991,4,3,234,2.6,0.38,0.38,0.38,0.00,0.00,0.00,0.00,0.38,0.38,0.77,0.38,0.77,0.12,0.12,0.23,0.35,0.11,0.25,0.36,0.11,0.36,Matches,b2741e3d
39,Strahinja Pavlović,DF,rs Serbia,21-205,1.at RB Salzburg,2001,3,3,235,2.6,0.38,0.00,0.38,0.00,0.00,0.77,0.00,0.38,0.00,0.38,0.38,0.38,0.08,0.08,0.00,0.08,0.07,0.00,0.07,0.07,0.07,Matches,25146df0
40,Eric Maxim Choupo-Moting,FWMF,cm Cameroon,33-267,1.de Bayern Munich,1989,3,3,253,2.8,0.36,0.00,0.36,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,0.29,0.29,0.00,0.32,0.29,0.02,0.31,0.29,0.31,Matches,0e6bc38c
41,Keysher Fuller,DFMF,cr Costa Rica,28-157,1.cr Club Sport Herediano,1994,3,3,253,2.8,0.36,0.00,0.36,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,0.14,0.14,0.07,0.18,0.14,0.05,0.19,0.14,0.19,Matches,78019e88
42,Phil Foden,FWMF,eng England,22-201,1.eng Manchester City,2000,4,3,258,2.9,0.34,0.69,0.34,0.00,0.00,0.00,0.00,0.35,0.70,1.05,0.35,1.05,0.38,0.38,0.21,0.55,0.38,0.20,0.57,0.38,0.57,Matches,ed1e53f3
43,Serge Gnabry,FWMF,de Germany,27-154,1.de Bayern Munich,1995,3,3,263,2.9,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.34,0.34,0.68,0.34,0.68,0.38,0.38,0.52,0.90,0.37,0.51,0.88,0.37,0.88,Matches,88e357ef
44,Mohammed Salisu,DF,gh Ghana,23-242,1.eng Southampton,1999,3,3,270,3.0,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,0.27,0.27,0.07,0.33,0.26,0.08,0.34,0.26,0.34,Matches,0b33f6ad
45,Mehdi Taremi,FW,ir IR Iran,30-150,1.pt Porto,1992,3,3,270,3.0,0.67,0.33,0.33,0.33,0.33,0.00,0.00,0.67,0.33,1.00,0.33,0.67,0.43,0.20,0.23,0.40,0.45,0.22,0.67,0.18,0.40,Matches,4c2a5d34
46,Moisés Caicedo,MF,ec Ecuador,21-043,1.eng Brighton,2001,3,3,269,3.0,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.33,0.33,0.17,0.17,0.00,0.17,0.17,0.00,0.17,0.17,0.17,Matches,16264a81
