,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
87,Hakim Ziyech,FWMF,ma Morocco,29-271,1.eng Chelsea,1993,6,6,545,6.1,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.17,0.17,0.33,0.17,0.33,0.05,0.05,0.10,0.15,0.06,0.10,0.16,0.06,0.16,Matches,6622454d
88,Ivan Perišić,FWDF,hr Croatia,33-316,1.eng Tottenham,1989,6,6,579,6.4,0.16,0.31,0.16,0.00,0.00,0.00,0.00,0.16,0.31,0.47,0.16,0.47,0.14,0.14,0.11,0.25,0.15,0.12,0.27,0.15,0.27,Matches,6fe90922
89,Sardar Azmoun,FW,ir IR Iran,27-348,1.de Leverkusen,1995,3,2,126,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,0.07,0.71,0.67,0.05,0.71,0.67,0.71,Matches,10549b49
90,Jamal Musiala,MFFW,de Germany,19-292,1.de Bayern Munich,2003,3,3,258,2.9,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.00,0.35,0.66,0.66,0.31,0.97,0.67,0.30,0.97,0.67,0.97,Matches,2c0558b8
91,Lautaro Martínez,FW,ar Argentina,25-115,1.it Inter,1997,5,2,223,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.52,0.00,0.52,0.59,0.02,0.61,0.59,0.61,Matches,f7036e1c
92,Nicolás Tagliafico,DF,ar Argentina,30-106,1.fr Lyon,1992,5,2,254,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.07,0.43,0.41,0.06,0.47,0.41,0.47,Matches,f0661424
93,Kieffer Moore,FW,wls Wales,30-129,1.eng Bournemouth,1992,3,2,225,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.08,0.52,0.41,0.10,0.51,0.41,0.51,Matches,01ce9e70
94,Alexis Vega,FW,mx Mexico,25-020,1.mx Guadalajara,1997,3,3,193,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.05,0.43,0.39,0.06,0.44,0.39,0.44,Matches,f40f4c38
95,Jonathan David,FWMF,ca Canada,22-335,1.fr Lille,2000,3,2,192,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.33,0.00,0.33,0.49,0.00,0.49,0.35,0.35,Matches,ce50fd99
96,Raphinha,FW,br Brazil,26-001,1.es Barcelona,1996,5,4,315,3.5,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,0.34,0.34,0.37,0.71,0.35,0.38,0.72,0.35,0.72,Matches,3423f250
97,Tajon Buchanan,MFDF,ca Canada,23-310,1.be Club Brugge,1999,3,3,260,2.9,0.00,0.34,0.00,0.00,0.00,0.34,0.00,0.00,0.35,0.35,0.00,0.35,0.31,0.31,0.17,0.48,0.33,0.17,0.50,0.33,0.50,Matches,3aca6420
98,Nikola Vlašić,FWMF,hr Croatia,25-072,1.it Torino,1997,5,1,179,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.29,0.00,0.29,0.29,0.29,Matches,aa8e289e
99,Youssef Msakni,MFFW,tn Tunisia,32-048,1.qa Al-Arabi SC,1990,2,2,169,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.32,0.63,0.29,0.34,0.62,0.29,0.62,Matches,0083e371
100,Alistair Johnston,DF,ca Canada,24-068,1.us CF Montréal,1998,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.07,0.33,0.27,0.06,0.33,0.27,0.33,Matches,4fb17e20
101,Luis Suárez,FW,uy Uruguay,35-325,1.uy Nacional,1987,3,2,146,1.6,0.00,0.63,0.00,0.00,0.00,0.63,0.00,0.00,0.62,0.62,0.00,0.62,0.25,0.25,0.06,0.31,0.26,0.04,0.29,0.26,0.29,Matches,a6154613
102,Rodrygo,MFFW,br Brazil,21-340,1.es Real Madrid,2001,5,1,181,2.0,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.20,0.20,0.20,0.45,0.26,0.25,0.52,0.26,0.52,Matches,8f5e92a6
103,Issam Jebali,FW,tn Tunisia,30-355,1.dk Odense,1991,3,2,182,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.10,0.35,0.26,0.08,0.34,0.26,0.34,Matches,4b751020
104,Leon Goretzka,MF,de Germany,27-312,1.de Bayern Munich,1995,3,2,159,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,0.26,0.01,0.27,0.26,0.27,Matches,cc86b9a3
105,Rodrigo Bentancur,MF,uy Uruguay,25-173,1.eng Tottenham,1997,3,3,213,2.4,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.04,0.33,0.26,0.06,0.32,0.26,0.32,Matches,3b8674e6
106,Cristiano Ronaldo,FW,pt Portugal,37-313,1.eng Manchester Utd,1985,5,3,290,3.2,0.31,0.00,0.00,0.31,0.31,0.00,0.00,0.31,0.00,0.31,0.00,0.00,0.50,0.25,0.03,0.31,0.51,0.04,0.55,0.26,0.30,Matches,dea698d9
107,Antonio Rüdiger,DF,de Germany,29-287,1.es Real Madrid,1993,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,0.25,0.00,0.25,0.25,0.25,Matches,18b896d6
108,Fred,MF,br Brazil,29-285,1.eng Manchester Utd,1993,4,2,142,1.6,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.13,0.37,0.23,0.16,0.39,0.23,0.39,Matches,b853e0ad
109,Ismaila Sarr,FWMF,sn Senegal,24-293,2.eng Watford,1998,4,4,344,3.8,0.26,0.00,0.00,0.26,0.26,0.00,0.00,0.26,0.00,0.26,0.00,0.00,0.45,0.24,0.11,0.34,0.43,0.11,0.55,0.23,0.34,Matches,bfdb33aa
110,Edinson Cavani,FW,uy Uruguay,35-304,1.es Valencia,1987,3,1,124,1.4,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.50,0.71,0.21,0.50,0.71,0.21,0.71,Matches,527f063d
111,Josh Sargent,FW,us United States,22-298,2.eng Norwich City,2000,3,2,157,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.06,0.24,0.21,0.04,0.25,0.21,0.25,Matches,a8d4428b
112,Steven Bergwijn,FW,nl Netherlands,25-068,1.nl Ajax,1997,4,3,213,2.4,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,0.21,0.00,0.21,0.21,0.21,Matches,a29b1131
113,Daichi Kamada,FWMF,jp Japan,26-132,1.de Eint Frankfurt,1996,4,4,322,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.19,0.18,0.01,0.19,0.18,0.19,Matches,15b287da
114,İlkay Gündoğan,MF,de Germany,32-052,1.eng Manchester City,1990,3,3,189,2.1,0.48,0.00,0.00,0.48,0.48,0.00,0.00,0.48,0.00,0.48,0.00,0.00,0.52,0.19,0.05,0.24,0.54,0.05,0.60,0.17,0.22,Matches,819b3158
115,Andreas Skov Olsen,FWMF,dk Denmark,22-351,1.be Club Brugge,1999,2,2,132,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.16,0.00,0.16,0.16,0.16,Matches,c50cee19
116,Cyle Larin,FW,ca Canada,27-242,1.be Club Brugge,1995,3,2,137,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.33,0.47,0.16,0.34,0.49,0.16,0.49,Matches,e7af9060
117,Pierre Kunde,MF,cm Cameroon,27-142,1.gr Olympiacos,1995,2,2,131,1.5,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.07,0.20,0.15,0.05,0.20,0.15,0.20,Matches,9ceb7642
118,Antony,FW,br Brazil,22-294,1.eng Manchester Utd,2000,4,1,172,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.05,0.21,0.15,0.08,0.22,0.15,0.22,Matches,99127249
119,Almoez Ali,FW,qa Qatar,26-118,1.qa Al Duhail SC,1996,3,3,224,2.5,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,0.15,0.00,0.15,0.15,0.15,Matches,bae045a9
120,Mohamed Dräger,DF,tn Tunisia,26-173,1.ch Luzern,1996,2,2,132,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.14,0.01,0.15,0.14,0.15,Matches,8954fddc
121,Nicolas Nkoulou,DF,cm Cameroon,32-263,1.gr Aris,1990,2,2,180,2.0,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.50,0.00,0.50,0.15,0.15,0.00,0.15,0.14,0.00,0.14,0.14,0.14,Matches,93cf32a8
122,Thomas Müller,FWMF,de Germany,33-093,1.de Bayern Munich,1989,3,3,201,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.27,0.41,0.14,0.28,0.42,0.14,0.42,Matches,3c6089ab
123,Jesper Lindstrøm,MFFW,dk Denmark,22-289,1.de Eint Frankfurt,2000,3,2,200,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,0.14,0.00,0.14,0.14,0.14,Matches,37dc1a48
124,Darwin Núñez,FW,uy Uruguay,23-174,1.eng Liverpool,1999,3,3,240,2.7,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.07,0.22,0.14,0.09,0.23,0.14,0.23,Matches,4d77b365
125,Rodrigo De Paul,MF,ar Argentina,28-205,1.es Atlético Madrid,1994,6,6,498,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.04,0.18,0.14,0.04,0.19,0.14,0.19,Matches,162efffd
126,Stephen Eustáquio,MF,ca Canada,25-359,1.pt Porto,1996,2,2,125,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.21,0.13,0.11,0.24,0.13,0.24,Matches,577efaec
127,Michael Estrada,FW,ec Ecuador,26-252,1.mx Cruz Azul,1996,3,3,225,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,0.13,0.01,0.13,0.13,0.13,Matches,773f5f12
128,Ben Davies,DF,wls Wales,29-235,1.eng Tottenham,1993,3,3,238,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,0.13,0.00,0.13,0.13,0.13,Matches,44781702
129,Steven Berghuis,MF,nl Netherlands,30-361,1.nl Ajax,1991,4,1,200,2.2,0.00,0.45,0.00,0.00,0.00,0.45,0.00,0.00,0.45,0.45,0.00,0.45,0.14,0.14,0.05,0.14,0.13,0.04,0.17,0.13,0.17,Matches,713c144a
130,Weston McKennie,MF,us United States,24-109,1.it Juventus,1998,4,4,271,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.27,0.13,0.13,0.27,0.13,0.27,Matches,01c3aff5
131,Jackson Irvine,MFFW,au Australia,29-283,2.de St. Pauli,1993,4,4,354,3.9,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.15,0.13,0.01,0.14,0.13,0.14,Matches,4637747c
132,Antoine Griezmann,MF,fr France,31-269,1.es Atlético Madrid,1991,6,5,467,5.2,0.00,0.58,0.00,0.00,0.00,0.19,0.00,0.00,0.58,0.58,0.00,0.58,0.13,0.13,0.58,0.71,0.13,0.58,0.71,0.13,0.71,Matches,df69b544
133,Shogo Taniguchi,DF,jp Japan,31-153,1.jp Kawa Frontale,1991,2,2,210,2.3,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,0.12,0.00,0.12,0.12,0.12,Matches,828a9c47
134,Sultan Al-Ghanam,DFMF,sa Saudi Arabia,28-223,1.sa Al-Nassr,1994,3,1,126,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.07,0.14,0.12,0.05,0.17,0.12,0.17,Matches,0ea89f8d
135,Ibrahima Konaté,DF,fr France,23-204,1.eng Liverpool,1999,4,3,286,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.03,0.13,0.12,0.02,0.14,0.12,0.14,Matches,5ed9b537
136,Joshua Kimmich,MFDF,de Germany,27-310,1.de Bayern Munich,1995,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.37,0.50,0.12,0.37,0.49,0.12,0.49,Matches,49296448
137,Abdelhamid Sabiri,MF,ma Morocco,26-017,1.it Sampdoria,1996,4,1,136,1.5,0.00,0.67,0.00,0.00,0.00,0.67,0.00,0.00,0.66,0.66,0.00,0.66,0.07,0.07,0.60,0.67,0.11,0.75,0.86,0.11,0.86,Matches,4830e0af
138,Ruben Vargas,FW,ch Switzerland,24-132,1.de Augsburg,1998,4,4,285,3.2,0.00,0.31,0.00,0.00,0.00,0.31,0.00,0.00,0.32,0.32,0.00,0.32,0.09,0.09,0.19,0.28,0.11,0.19,0.30,0.11,0.30,Matches,6ecbddf6
139,Mario Pašalić,FW,hr Croatia,27-309,1.it Atalanta,1995,6,2,246,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.07,0.19,0.11,0.08,0.19,0.11,0.19,Matches,e599253a
140,Idrissa Gana Gueye,MF,sn Senegal,33-080,1.eng Everton,1989,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.03,0.13,0.11,0.03,0.14,0.11,0.14,Matches,72c812f3
141,Son Heung-min,FWMF,kr Korea Republic,30-160,1.eng Tottenham,1992,4,4,360,4.0,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,0.10,0.10,0.25,0.35,0.11,0.24,0.35,0.11,0.35,Matches,92e7e919
142,Ousmane Dembélé,FW,fr France,25-214,1.es Barcelona,1997,6,5,393,4.4,0.00,0.45,0.00,0.00,0.00,0.23,0.00,0.00,0.46,0.46,0.00,0.46,0.11,0.11,0.36,0.48,0.11,0.38,0.49,0.11,0.49,Matches,b19db005
143,Karl Toko Ekambi,FWMF,cm Cameroon,30-092,1.fr Lyon,1992,3,2,166,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.17,0.22,0.10,0.14,0.24,0.10,0.24,Matches,5ceba7fc
144,Mason Mount,MF,eng England,23-339,1.eng Chelsea,1999,4,2,186,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,0.10,0.02,0.12,0.10,0.12,Matches,9674002f
145,Yahya Attiat Allah,DF,ma Morocco,27-288,1.ma Wydad Casablanca,1995,5,1,228,2.5,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.39,0.08,0.08,0.48,0.56,0.10,0.52,0.62,0.10,0.62,Matches,432848a2
146,Iñaki Williams,FW,gh Ghana,28-183,1.es Athletic Club,1994,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.07,0.17,0.10,0.07,0.17,0.10,0.17,Matches,6a99e0b1
147,Mohamed Kanno,MFFW,sa Saudi Arabia,28-084,1.sa Al-Hilal,1994,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,0.10,0.00,0.10,0.10,0.10,Matches,74ccf212
148,Jakub Kamiński,MF,pl Poland,20-193,1.de Wolfsburg,2002,4,2,233,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.08,0.19,0.14,0.09,0.23,0.10,0.19,Matches,202b3b68
149,Abdelkarim Hassan,DF,qa Qatar,29-109,1.qa Al Sadd SC,1993,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,0.10,0.01,0.11,0.10,0.11,Matches,7380bccf
150,Fabian Schär,DF,ch Switzerland,30-360,1.eng Newcastle Utd,1991,2,2,135,1.5,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.09,0.00,0.09,0.09,0.09,Matches,c8aa95da
151,Iliman Ndiaye,FWMF,sn Senegal,22-284,2.eng Sheffield Utd,2000,3,2,135,1.5,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.67,0.07,0.07,0.13,0.20,0.09,0.14,0.22,0.09,0.22,Matches,5ed97752
152,Thomas Meunier,DF,be Belgium,31-094,1.de Dortmund,1991,3,2,211,2.3,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.22,0.30,0.09,0.21,0.30,0.09,0.30,Matches,e162b013
153,Lee Kangin,MFFW,kr Korea Republic,21-299,1.es Mallorca,2001,4,1,147,1.6,0.00,0.63,0.00,0.00,0.00,0.63,0.00,0.00,0.61,0.61,0.00,0.61,0.13,0.13,0.19,0.25,0.09,0.17,0.27,0.09,0.27,Matches,8455ad90
154,Kim Jin-su,DF,kr Korea Republic,30-185,1.kr Jeonbuk,1992,4,4,315,3.5,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,0.09,0.09,0.17,0.26,0.09,0.17,0.27,0.09,0.27,Matches,8e6ff136
155,Marcelo Brozović,MF,hr Croatia,30-029,1.it Inter,1992,6,6,552,6.1,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.03,0.11,0.09,0.03,0.12,0.09,0.12,Matches,33b8d077
156,Junior Hoilett,FWMF,ca Canada,32-193,2.eng Reading,1990,3,2,161,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.22,0.28,0.08,0.21,0.28,0.08,0.28,Matches,33af5b9e
157,Facundo Pellistri,MFFW,uy Uruguay,20-360,1.eng Manchester Utd,2001,3,2,181,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.20,0.08,0.09,0.17,0.08,0.17,Matches,ac7e7b1c
158,Bryan Mbeumo,FWMF,cm Cameroon,23-130,1.eng Brentford,1999,3,3,233,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.12,0.19,0.08,0.11,0.19,0.08,0.19,Matches,6afaebf2
159,Kevin De Bruyne,FWMF,be Belgium,31-170,1.eng Manchester City,1991,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.30,0.37,0.08,0.30,0.38,0.08,0.38,Matches,e46012d4
160,Daniel Amartey,DF,gh Ghana,27-359,1.eng Leicester City,1994,3,3,251,2.8,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.04,0.11,0.08,0.03,0.10,0.08,0.10,Matches,1a4ef233
161,Granit Xhaka,MF,ch Switzerland,30-079,1.eng Arsenal,1992,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.03,0.10,0.08,0.02,0.10,0.08,0.10,Matches,e61b8aee
162,Raphaël Varane,DF,fr France,29-234,1.eng Manchester Utd,1993,5,5,406,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.08,0.00,0.08,0.08,0.08,Matches,9f8e9423
163,Yunus Musah,MF,us United States,20-016,1.es Valencia,2002,4,4,343,3.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.03,0.11,0.08,0.02,0.11,0.08,0.11,Matches,b51b1b9c
164,Harry Maguire,DF,eng England,29-285,1.eng Manchester Utd,1993,5,5,429,4.8,0.00,0.21,0.00,0.00,0.00,0.21,0.00,0.00,0.21,0.21,0.00,0.21,0.08,0.08,0.00,0.08,0.08,0.01,0.09,0.08,0.09,Matches,d8931174
165,Nico Williams,FW,es Spain,20-156,1.es Athletic Club,2002,4,1,146,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.07,0.00,0.07,0.07,0.07,Matches,afdc14d7
166,Atiba Hutchinson,MF,ca Canada,39-310,1.tr Beşiktaş,1983,3,2,159,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.07,0.00,0.07,0.07,0.07,Matches,f1b55719
167,Pape Gueye,MF,sn Senegal,23-325,1.fr Marseille,1999,3,1,153,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.18,0.07,0.11,0.18,0.07,0.18,Matches,7155e3e1
168,Anis Ben Slimane,MF,tn Tunisia,21-274,1.dk Brøndby,2001,2,2,148,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.13,0.07,0.06,0.12,0.07,0.12,Matches,9ade9ce1
169,Thomas Partey,MF,gh Ghana,29-185,1.eng Arsenal,1993,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.03,0.10,0.07,0.02,0.09,0.07,0.09,Matches,529f49ab
170,Hirving Lozano,FW,mx Mexico,27-138,1.it Napoli,1995,3,3,252,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.36,0.43,0.07,0.36,0.42,0.07,0.42,Matches,a69e4806
171,Sergiño Dest,DF,us United States,22-042,1.it Milan,2000,4,4,305,3.4,0.00,0.29,0.00,0.00,0.00,0.29,0.00,0.00,0.30,0.30,0.00,0.30,0.06,0.06,0.15,0.21,0.07,0.15,0.22,0.07,0.22,Matches,5976f83e
172,Krystian Bielik,MF,pl Poland,24-345,3.eng Derby County,1998,4,2,216,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.07,0.00,0.07,0.07,0.07,Matches,8e0ec853
173,Tim Ream,DF,us United States,35-071,1.eng Fulham,1987,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.07,0.07,0.07,Matches,28b40c9c
174,John Stones,DF,eng England,28-201,1.eng Manchester City,1994,5,5,434,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.02,0.08,0.07,0.01,0.09,0.07,0.09,Matches,5eecec3d
175,Abdulellah Al-Malki,MF,sa Saudi Arabia,28-065,1.sa Al-Hilal,1994,2,2,174,1.9,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.06,0.00,0.06,0.06,0.06,Matches,3bcd2730
176,Youssouf Fofana,MF,fr France,23-339,1.fr Monaco,1999,5,2,202,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.14,0.06,0.07,0.13,0.06,0.13,Matches,822d51d7
177,Krépin Diatta,FWMF,sn Senegal,23-293,1.fr Monaco,1999,3,3,181,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.15,0.06,0.09,0.16,0.06,0.16,Matches,8104e41e
178,Ángel Di María,MFFW,ar Argentina,34-304,1.it Juventus,1988,4,3,225,2.5,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,0.04,0.04,0.16,0.24,0.06,0.18,0.24,0.06,0.24,Matches,19cda00b
179,Kendall Waston,DF,cr Costa Rica,34-348,1.cr Deportivo Saprissa,1988,3,2,225,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.06,0.00,0.06,0.06,0.06,Matches,02ea59b0
180,Jan Vertonghen,DF,be Belgium,35-235,1.be Anderlecht,1987,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.06,0.00,0.06,0.06,0.06,Matches,ba23a904
181,Federico Valverde,MF,uy Uruguay,24-146,1.es Real Madrid,1998,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.13,0.20,0.06,0.14,0.20,0.06,0.20,Matches,0959c2a2
